,description,tables
40,"Таблица file_logos содержит информацию о логотипах. Таблица имеет поля: file_code - код файла, theme - тема, content_type - тип содержания, filename - название файла, content - содержание.","file_logos: ['file_code', 'theme', 'content_type', 'filename', 'content']"
41,"Таблица ggd содержит информацию о данных бурения. Таблица имеет поля: id - идентификатор данных, title - название данных, type - тип данных, date_from - дата начала, is_actual - является актуальным, well_id - идентификатор скважины, version - номер версии, is_auto_generated - автоматически сгенерировано, generated_params - параметры сярвервации, plan_tree_id - идентификатор дерева плана, repair_time_percent - процент времени на ремонт, repair_time_days - дни на ремонт.","ggd: ['id', 'title', 'type', 'date_from', 'is_actual', 'well_id', 'version', 'is_auto_generated', 'generated_params', 'plan_tree_id', 'repair_time_percent', 'repair_time_days']"
42,"Таблица file_tags содержит информацию о метках файлов. Таблица имеет поля: id - идентификатор метки файла, title - название метки файла, well_id - идентификатор скважины, связанной с данным файлом.","file_tags: ['id', 'title', 'well_id']"
43,"Таблица flyway_schema_history содержит историю миграций базы данных. Таблица имеет поля: Поле installed_rank - ранг установки миграции, version - версия миграции, description - описание миграции, type - тип миграции, script - скрипт миграции, checksum - контрольная сумма скачанного скрипта, installed_by - пользователь, установивший миграцию, installed_on - дата установки миграции, execution_time - затраченное время execution_time success - результат возвращается в качестве булевого значения.","flyway_schema_history: ['installed_rank', 'version', 'description', 'type', 'script', 'checksum', 'installed_by', 'installed_on', 'execution_time', 'success']"
44,"Таблица geological_journal содержит информацию об отчетах геологических наблюдений. Таблица имеет поля: id, well_id, date, work_type, duration_hours, shuttler_diameter, diaphragm_diameter, pipe_pressure, behind_pipe_pressure, p_dict_pressure, separator_pressure, wellhead_temperature, dict_temperature, separator_temperature, bottomhole_pressure, bottomhole_temperature, consumption_liquid_at_reservoir, rvdp_calculation, zab_temperature, delta_pressure, delta_pressure_percent, gas_debit_by_dict, liquid_debit_by_separator, not_stable_condensate_debit_by_separator, liquid_debit_at_reservoir, stable_condensate_debit_at_reservoir, water_debit_at_reservoir, stable_condensate_kcmm3, stable_condensate_kgm3, vgf, shrinkage_coefficient, water_density, m_water, volume_water_content_percent, vdp_flow_speed, nkt_flow_speed, comments, gas_accumulated_consumption, water_consumption_previous_measurement, water_accumulated_consumption, hydrogen_debit, kpi_pressure, kou_pressure, mkp_pressure, kc, previous_bottomhole_pressure, previous_bottomhole_temperature, previous_zab_temperature, previous_dict_pressure, previous_dict_temperature, previouszdict_temperature, filter_resistance_coefficient, version, density_gk, debit_by_dict, mechanical_impurities_gm, measurement_duration_minutes, mechanical_impurities_gm_hours, mechanical_impurities_kg_day, mechanical_impurities_gm_m3.","geological_journal: ['id', 'well_id', 'date', 'work_type', 'duration_hours', 'shuttler_diameter', 'diaphragm_diameter', 'pipe_pressure', 'behind_pipe_pressure', 'p_dict_pressure', 'separator_pressure', 'wellhead_temperature', 'dict_temperature', 'separator_temperature', 'bottomhole_pressure', 'bottomhole_temperature', 'consumption_liquid_at_reservoir', 'rvdp_calculation', 'zab_temperature', 'delta_pressure', 'delta_pressure_percent', 'gas_debit_by_dict', 'liquid_debit_by_separator', 'not_stable_condensate_debit_by_separator', 'liquid_debit_at_reservoir', 'stable_condensate_debit_at_reservoir', 'water_debit_at_reservoir', 'stable_condensate_kcmm3', 'stable_condensate_kgm3', 'vgf', 'shrinkage_coefficient', 'water_density', 'm_water', 'volume_water_content_percent', 'vdp_flow_speed', 'nkt_flow_speed', 'comments', 'gas_accumulated_consumption', 'water_consumption_previous_measurement', 'water_accumulated_consumption', 'hydrogen_debit', 'kpi_pressure', 'kou_pressure', 'mkp_pressure', 'kc', 'previous_bottomhole_pressure', 'previous_bottomhole_temperature', 'previous_zab_temperature', 'previous_dict_pressure', 'previous_dict_temperature', 'previouszdict_temperature', 'filter_resistance_coefficient', 'version', 'density_gk', 'debit_by_dict', 'mechanical_impurities_gm', 'measurement_duration_minutes', 'mechanical_impurities_gm_hours', 'mechanical_impurities_kg_day', 'mechanical_impurities_gm_m3']"
45,"Таблица geology содержит информацию о геологических условиях бурения скважин. Таблица имеет поля: id, well_id - идентификатор скважины, core_sample_interval - интервал обморожения и взятия корневых образцов, depth_by_vertical_beginning и depth_by_vertical_ending - начальная и конечная глубина бурения по вертикали, risk_type - тип риска, expected_pressure - ожидаемое давление, horizon - горизонт, podsvita и svita - информация о свите и подсвите, target_formation - заданная форма фации, temperature - температура, version - версия, is_target_formation - отметка о том фация является целевой.","geology: ['id', 'well_id', 'core_sample_interval', 'depth_by_vertical_beginning', 'risk_type', 'expected_pressure', 'horizon', 'podsvita', 'svita', 'target_formation', 'temperature', 'version', 'depth_by_vertical_ending', 'is_target_formation']"
46,"Таблица ggd_fact содержит информацию о фактах бурения скважин. Таблица имеет поля: id, well_id - идентификатор скважины, accumulated_time - накопленный время, actual_bottomhole - фактическая глубина скважины, rop - скорость разъёма, operation_time_days - оперативное время в днях, operation_time_hours - оперативное время в часах, operation_type - тип операции, version - версия, work_category - категория работ, work_type - тип работ, operation_id - идентификатор операции, start_time - время начала, casing_column - диаметр колонны сепаратора, well_construction_stage - этап строя скважину, wellbore - тип колонны скважины.","ggd_fact: ['id', 'well_id', 'accumulated_time', 'actual_bottomhole', 'rop', 'operation_time_days', 'operation_time_hours', 'operation_type', 'version', 'work_category', 'work_type', 'operation_id', 'start_time', 'casing_column', 'well_construction_stage', 'wellbore']"
47,"Таблица fuel содержит запись об использовании топлива для бурения скважин. Таблица имеет поля: Поле id - уникальный номер записи, well_id - id скважины, counter_number - номер счетчика, date - дата, expense - затраты, fuel_type - тип топлива, income - доход, on_end_of_day - показатель на конец дня, on_start_of_day - показатель на начало дня, version - версия записи, fuel_unit - единица измерения топлива, casing_column - столбец поворонки, expense_per_section - затраты на секцию, arrival - время прибытия, well_construction_stage - этап строительства скважины.","fuel: ['id', 'well_id', 'counter_number', 'date', 'expense', 'fuel_type', 'income', 'on_end_of_day', 'on_start_of_day', 'version', 'fuel_unit', 'casing_column', 'expense_per_section', 'arrival', 'well_construction_stage']"
48,"Таблица ggd_deviation содержит информацию о отклонениях при бурении скважин. Таблица имеет поля: id - идентификатор отклонения, well_id - идентификатор скважины, ggd_fact_element_id - идентификатор фактического элемента, ggd_plan_element_id - идентификатор планового элемента, accumulated_time_days_fact - фактическое поглощенное время, accumulated_time_days_plan - плановое поглощенное время, deviation_days - дней отклонения, debug_comments - комментарии по отладке.","ggd_deviation: ['id', 'well_id', 'ggd_fact_element_id', 'ggd_plan_element_id', 'accumulated_time_days_fact', 'accumulated_time_days_plan', 'deviation_days', 'debug_comments']"
49,"Таблица files содержит информацию о файлах, связанных с бурением скважин. Таблица имеет поля: id, well_id - ID скважины, связанной с файлом, content_type - тип содержимого файла, file_size - размер файла, group_id - ID группы, связанной с файлом, original_filename - исходное имя файла, storage_id - ID хранилища, содержащего файл, upload_date - дата загрузки файла, document_date - дата документа, attr - дополнительные атрибуты файла, subgroup_id - ID подсообщества, связанного с файлом.","files: ['id', 'well_id', 'content_type', 'file_size', 'group_id', 'original_filename', 'storage_id', 'upload_date', 'document_date', 'attr', 'subgroup_id']"
50,"Таблица file_subgroups содержит информацию о субгруппах файлов. Таблица имеет поля: id - код субгруппы, title - название субгруппы, has_plan_fact - флаг наличия фактических данных, group_code - код группы.","file_subgroups: ['id', 'title', 'has_plan_fact', 'group_code']"
51,"Таблица ggd_elements содержит информацию об элементах ГГД (Глубинной Геолого-Геофизической) системы бурения скважин. Таблица имеет поля:  id - идентификатор записи,  start_time - время начала выполнения элемента ГГД,  well_construction_stage - этап строительства скважины,  casing_column - длина колонны обсадных труб,  work_category - категория проводимой работы,  work_type - тип проводимой работы,  bottomhole - глубина колодца,  operation_time_hours - время выполнения работ в часах,  operation_time_days - время выполнения работ в днях,  accumulated_time - накопленное время выполнения всех элементов,  msp - номер документа или система проектов,  comment - комментарий к элементу ГГД,  parent_id - идентификатор родительского элемента,  version - версия элемента,  item_order - порядок элемента в шаблоне,  calculation_params - параметры расчета элемента,  calculation_type - тип расчета элемента,  operation_type - тип выполняемой операции,  wellbore - формула или строка расчета с геометрическими расчетами по скважине.","ggd_elements: ['id', 'start_time', 'well_construction_stage', 'casing_column', 'work_category', 'work_type', 'bottomhole', 'operation_time_hours', 'operation_time_days', 'accumulated_time', 'msp', 'comment', 'parent_id', 'version', 'item_order', 'calculation_params', 'calculation_type', 'operation_type', 'wellbore']"
52,"Таблица incident_guilty_side содержит информацию о сторонах, ответственных за инциденты при бурении скважин. Таблица имеет поля: идентификатор инцидента, идентификатор подрядчика.","incident_guilty_side: ['incident_id', 'contractor_id']"
53,"Таблица ggd_plan_tree содержит информацию о виртуальной структуре планетного дерева. Таблица имеет поля: id - идентификатор элемента, parent_id - идентификатор родительского элемента, title - название элемента, type - тип элемента, item_order - порядок элементов, ggd_element_id - идентификатор элемента.","ggd_plan_tree: ['id', 'parent_id', 'title', 'type', 'item_order', 'ggd_element_id']"
54,"Таблица accident_service_type содержит информацию о типах услуг по аварийным случаям. Таблица имеет поля:  Полет incident_id - идентификатор аварийного случая,  пolet service_type_id - идентификатор типа услуги.","incident_service_type: ['incident_id', 'service_type_id']"
55,"Таблица intensification_inflow_from_layer содержит информацию об интенсификации подачи fluids с этажа. Таблица имеет поля:  id, версия проекта, id проекта, отрезок времени начала тестирования, отрезок времени окончания тестирования, наименование работы, количество операций на объекте.","intensification_inflow_from_layer: ['id', 'version', 'project_id', 'test_interval_from', 'test_interval_to', 'work_name', 'count_of_operation_by_object']"
56,"Таблица knbk_actual содержит информацию о фактических условиях бурения скважин.  Таблица имеет поля:  Поле id - уникальный идентификатор записи, поле well_id - идентификатор скважины, поле casing_column - информация о колонне ствола, поле inner_diameter - внутренний диаметр, поле knbk_element - элемент бурения, поле knbk_number - номер элемента, поле length - длина, поле max_diameter - максимальный диаметр, поле outer_diameter - внешний диаметр, поле purposes - назначение, поле steel_grade - качество стали, поле torque - момент поворота, поле trip_number - номер поездки, поле type_thread_bottom - тип хвосторавета снизу, поле type_thread_top - тип хвосторавета сверху, поле version - версия, поле weight_per_linear_meter - вес на единицу длины, поле knbk_plan_number - номер планируемого элемента бурения.","knbk_actual: ['id', 'well_id', 'casing_column', 'inner_diameter', 'knbk_element', 'knbk_number', 'length', 'max_diameter', 'outer_diameter', 'purposes', 'steel_grade', 'torque', 'trip_number', 'type_thread_bottom', 'type_thread_top', 'version', 'weight_per_linear_meter', 'knbk_plan_number']"
57,"Таблица keycloak_admin_events содержит информацию о событиях администрирования Keycloak. Таблица имеет поля: id, время события, идентификатор реалма, идентификатор реалма аутентификации, идентификатор клиента аутентификации, идентификатор пользователя аутентификации, адрес IP пользователя, тип ресурса, тип операции, путь ресурса, представление ресурса, ошибка, дополнительные подробности.","keycloak_admin_events: ['id', 'time', 'realm_id', 'auth_realm_id', 'auth_client_id', 'auth_user_id', 'auth_ip_address', 'resource_type', 'operation_type', 'resource_path', 'representation', 'error', 'details']"
58,"Таблица keycloak_events содержит данные о событиях в системе Keycloak. Таблица имеет поля: идентификатор события - id, время发生ения события - time, тип события - type, id реальма, client_id - идентификатор клиента, user_id - идентификатор пользователя, session_id - идентификатор сессии, адрес IP - ip_address, описание ошибки - error, дополнительная информация - details.","keycloak_events: ['id', 'time', 'type', 'realm_id', 'client_id', 'user_id', 'session_id', 'ip_address', 'error', 'details']"
59,"Таблица knbk содержит информацию о приборных узлах бурения скважины. Таблица имеет поля:  id – идентификатор приборного узла,  well_id – идентификатор скважины,  inner_diameter – внутренний диаметр приборного узла,  knbk_element – элемент приборного узла,  length – длина приборного узла,  outer_diameter – внешний диаметр приборного узла,  steel_grade – класс металла, из которого изготовлен приборный узел,  torque – максимальный момент, который может развить приборный узел,  trip_number – количество поездок с использованием приборного узла,  version – версия приборного узла,  weight_per_linear_meter – вес приборного узла на единицу длины.","knbk: ['id', 'well_id', 'inner_diameter', 'knbk_element', 'length', 'outer_diameter', 'steel_grade', 'torque', 'trip_number', 'version', 'weight_per_linear_meter']"
60,"Таблица knbk_fact_elements содержит информацию о элементах бурения. Таблица имеет поля:  id - идентификатор элемента,  knbk_fact_group_id - связи с группой элементов,  item_order - порядок следования элемента,  type - тип элемента,  knbk_element - код элемента,  length - длина элемента,  outer_diameter - внешний диаметр элемента,  inner_diameter - внутренний диаметр элемента,  max_diameter - максимальный диаметр элемента,  type_thread_bottom - тип гайкового вала в нижней части элемента,  type_thread_top - тип гайкового вала в верхней части элемента,  version - версия элемента,  length_accumulated - уaccumулированная длина элемента,  weight_nominal - номинальный вес элемента,  weight_accumulated - уaccumулированный вес элемента.","knbk_fact_elements: ['id', 'knbk_fact_group_id', 'item_order', 'type', 'knbk_element', 'length', 'outer_diameter', 'inner_diameter', 'max_diameter', 'type_thread_bottom', 'type_thread_top', 'version', 'length_accumulated', 'weight_nominal', 'weight_accumulated']"
61,"Таблица knbk_fact_entity содержит информацию о геологических образованиях и свойствах скважин. Таблица имеет поля: Поле id - характеристика скважины, well_id - уникальный идентификатор скважины, inner_diameter - внутренний диаметр скважины, knbk_element - образование или особенность скважины, knbk_fact_group_id - идентификатор группы свойств, length - длина скважины, max_diameter - максимальный диаметр скважины, number - номер геологического образования, outer_diameter - внешний диаметр скважины, type_thread_bottom - тип внешнего конца скважины, type_thread_top - тип внутреннего конца скважины, version - версия записи.","knbk_fact_entity: ['id', 'well_id', 'inner_diameter', 'knbk_element', 'knbk_fact_group_id', 'length', 'max_diameter', 'number', 'outer_diameter', 'type_thread_bottom', 'type_thread_top', 'version']"
62,"Таблица knbk_fact_group_entity содержит коллекцию фактических сущностей бурения. Таблица имеет поля:  id - уникальный идентификатор сущности, well_id - идентификатор скважины,  casing_column - описывает колонну с обшивкой, chisel_diameter - диаметр зубил, purpose - назначение или цель, title - название, trip_number - номер экспедиции, version - версия, number - дополнительная информация.","knbk_fact_group_entity: ['id', 'well_id', 'casing_column', 'chisel_diameter', 'purpose', 'title', 'trip_number', 'version', 'number']"
63,"Таблица ggd_template представляет информацию по шаблонам бурения. Таблица имеет поля:  id - идентификатор шаблона, well_construction_stage - этап строительства скважины, casing_column - ствол скважины, work_category - категория работ, work_type - тип работы, item_order_casing_column - порядок элементов ствола скважины.","ggd_template: ['id', 'well_construction_stage', 'casing_column', 'work_category', 'work_type', 'item_order_casing_column']"
64,"Таблица incidents содержит информацию об инцидентах при бурении скважин. Таблица имеет поля:  id - код инцидента,  well_id - идентификатор скважины,  description - описание инцидента,  duration - продолжительность инцидента,  end_time - время окончания инцидента,  guilty_side_backup - сторона, ответственная за вспомогательное оборудование,  work_type - тип работы,  start_time - время начала инцидента,  taken_action - действия, принятые в связи с инцидентом,  version - версия инцидента,  casing_column - колонна с обсадным стμβелем,  title - название инцидента,  start_depth - начальная глубина инцидента,  end_depth - конечная глубина инцидента,  status - статус инцидента,  files - файлы, приложенные к инциденту,  well_construction_stage - этап строительства скважины,  run - текущий номер проходки,  is_without_act - бездействие с уклонением от ответственнности,  comment - комментарий к инциденту,  wellbore - название скважин для скважины,  type - тип инцидента,  photos - фотографии инцидента,  full_title - полное название инцидента.","incidents: ['id', 'well_id', 'description', 'duration', 'end_time', 'guilty_side_backup', 'work_type', 'start_time', 'taken_action', 'version', 'casing_column', 'title', 'start_depth', 'end_depth', 'status', 'files', 'well_construction_stage', 'run', 'is_without_act', 'comment', 'wellbore', 'type', 'photos', 'full_title']"
65,"'Таблица journal_ot_pb_oos содержит информацию о записях в журнале отчетов об устранениях (ООС). Таблица имеет поля: id - идентификатор записи, well_id - идентификатор скважины, committed_violation_organisation - организация, способствовавшая отсутствию ООС, date - дата,(eliminatioin_date_actual) - фактическая дата устранения, elimination_date_plan - планируемая дата устранения, is_eliminated - является ли ООС устраненной, identified_inconsistencies - выявленные несоответствия, информация об отсрочке срока устранения - информация о возможной задержке устранения, is_halt - остановлено ли устранение, is_overdue - просрочено ли устранение, link_to_regulatory_document - ссылка на нормативный документ, order_number - номер приказа, organization_that_issued_order - организация, выдавшая приказ, point_number - номер точки, reason_for_not_eliminating_violation - причина неустранения нарушения, type_violation - тип нарушения, version - версия записи, work_stage – этап работы.","journal_ot_pb_oos: ['id', 'well_id', 'committed_violation_organisation', 'date', 'elimination_date_actual', 'elimination_date_plan', 'is_eliminated', 'identified_inconsistencies', 'information_about_postponement_of_elimination_period', 'is_halt', 'is_overdue', 'link_to_regulatory_document', 'order_number', 'organization_that_issued_order', 'point_number', 'reason_for_not_eliminating_violation', 'type_violation', 'version', 'work_stage']"
66,"Таблица knbk_plan содержит информацию о рабочих платах по технологии нестеночного бурения. Таблица имеет поля:  айд - уникальный идентификатор рабочей планы, 编号 скважины - идентификатор скважины, для которой создана рабочая план, столовая колонна - информация о столовой колонне, внутренний диаметр - размер внутреннего диаметра, графическое элемент - информация о дополнительном графическом элементе, номер knbk - уникальный номер ключевой трубы, длина - характеристика длины, максимальный диаметр - максимально допустимый диаметр, наружный диаметр - размер внешнего диаметра, назначение - назначение компонента, марка стали - характеристики стали, используемой для изготовления. момент борьбы - информация о моменте борьбы при ведении работы, количество выезда - информация о том, сколько раз провели выезд данного компонента, тип шовкуника нижней части - информация о типе шовкуника нижней части, тип шовкуника верхней части - информация о типе шовкуника верхней части, версия - версия рабочей планы, вес за метр  - описание веса компонента в одной метре, балочно-пределная глубина - описание максимально допустимой глубины; плановая начальая глубина-worksheetstartdepth - описание начальной глубины в м.","knbk_plan: ['id', 'well_id', 'casing_column', 'inner_diameter', 'knbk_element', 'knbk_number', 'length', 'max_diameter', 'outer_diameter', 'purposes', 'steel_grade', 'torque', 'trip_number', 'type_thread_bottom', 'type_thread_top', 'version', 'weight_per_linear_meter', 'end_depth', 'start_depth']"
67,"Таблица kpo_descent_protocol_casing_stab содержит информацию о стабилизации трубок в протоколеDescента. Таблица имеет поля:  pole casing_stab_id - идентификатор стабилизации трубки,  поле kpo_descent_protocol_id - идентификатор протокола Descenta.","kpo_descent_protocol_casing_stab: ['casing_stab_id', 'kpo_descent_protocol_id']"
68,"Таблица kpo_descent_protocol_elements содержит информацию о компонентах протокола погружения. Таблица имеет поля: id, версия; group_id, номер в группе; item_order, порядковый номер; тип; name, наименование; type_thread, тип нитки; outer_diameter, внешний диаметр; length, длина; length_accumulated, суммарная длина; weight, масса; weight_accumulated, суммарная масса; installation_depth_from, глубина установки от; installation_depth_to, глубина установки до; comment, комментарий.","kpo_descent_protocol_elements: ['id', 'version', 'group_id', 'item_order', 'type', 'name', 'type_thread', 'outer_diameter', 'length', 'length_accumulated', 'weight', 'weight_accumulated', 'installation_depth_from', 'installation_depth_to', 'comment']"
69,"Таблица knbk_plan_elements содержит информацию об элементах плана бурения скважин. Таблица имеет поля:Поле id - уникальный идентификатор элемента. Поле knbk_plan_group_id - идентификатор группы плана, к которому принадлежит элемент. Поле item_order - номер очередности элемента в плане. Поле type - тип элемента бурения. Поле knbk_element - информация о самом элементе. Поле length - длина элемента. Поле outer_diameter - внешний диаметр элемента. Поле inner_diameter - внутренний диаметр элемента. Поле max_diameter - максимальный диаметр элемента. Поле type_thread_bottom - тип резьбы внизу элемента. Поле type_thread_top - тип резьбы вверху элемента. Поле version - версия элемента. Поле length_accumulated - суммарная длина элемента вместе с предыдущими элементами. Поле weight_nominal - номинальный вес элемента. Поле weight_accumulated - суммарный вес элемента вместе с предыдущими элементами.","knbk_plan_elements: ['id', 'knbk_plan_group_id', 'item_order', 'type', 'knbk_element', 'length', 'outer_diameter', 'inner_diameter', 'max_diameter', 'type_thread_bottom', 'type_thread_top', 'version', 'length_accumulated', 'weight_nominal', 'weight_accumulated']"
70,"Таблица knbk_plan_entity содержит информацию о планах бурения скважин. Таблица имеет поля: id - идентификатор плана, well_id - уникальный идентификатор скважины, inner_diameter - внутренний диаметр, knbk_element - элемент плана, knbk_plan_group_id - идентификатор группы плана, length - длина, max_diameter - максимальный диаметр, number - номер, outer_diameter - внешний диаметр, type_thread_bottom - тип грани нижней части, type_thread_top - тип грани верхней части, version - версия плана.","knbk_plan_entity: ['id', 'well_id', 'inner_diameter', 'knbk_element', 'knbk_plan_group_id', 'length', 'max_diameter', 'number', 'outer_diameter', 'type_thread_bottom', 'type_thread_top', 'version']"
71,"Таблица knbk_plan_group_entity содержит информацию о группах планов бурения скважин. Таблица имеет поля: Поле id, Поле well_id - идентификатор скважины, Поле casing_column, Поле chisel_diameter - диаметр бура, Поле number, Поле purpose - назначение, Поле version, Поле title - название группы плана, Поле trip_number.","knbk_plan_group_entity: ['id', 'well_id', 'casing_column', 'chisel_diameter', 'number', 'purpose', 'version', 'title', 'trip_number']"
72,Таблица knbk_project_groups содержит информацию о группах проектов для буровых работ. Таблица имеет поля:  Поле id - уникальный номер группы проекта; Поле project_id - идентификатор проекта; Поле number - номер группы проекта; Поле casing_column - информация об отсеке насадки скважинной трубы; Поле open_hole_diameter - диаметр нефелинисочной части скважины; Поле purpose - назначение группы проекта; Поле version - версия группы проекта.,"knbk_project_groups: ['id', 'project_id', 'number', 'casing_column', 'open_hole_diameter', 'purpose', 'version']"
73,"Таблица knbk_gis_groups содержит информацию о группах гис. Таблица имеет поля: id - идентификатор группы, well_id - идентификатор скважины, number - номер группы, trip_number - номер поездки, casing_column - столбец линейнца, research_interval_from - интервал исследования от, research_interval_to - интервал исследования до, research_type - тип исследования, purpose - цель, version - версия.","knbk_gis_groups: ['id', 'well_id', 'number', 'trip_number', 'casing_column', 'research_interval_from', 'research_interval_to', 'research_type', 'purpose', 'version']"
74,"Таблица knbk_project_v2 содержит информацию о проектах бурения скважин. Таблица имеет поля: id - идентификатор проекта, item_order - порядковый номер проекта, knbk_project_group_id - идентификатор группы проектов, type - тип проекта, knbk_element - элемент проекта, length - длина проекта, outer_diameter - внешний диаметр, inner_diameter - внутренний диаметр, max_diameter - максимальный диаметр, type_thread_bottom - тип нижней свечки, type_thread_top - тип верхней свечки, weight - вес проекта, version - версия проекта, length_accumulated - accumalated длина, weight_nominal - номинальный вес, weight_accumulated - accumlated вес.","knbk_project_v2: ['id', 'item_order', 'knbk_project_group_id', 'type', 'knbk_element', 'length', 'outer_diameter', 'inner_diameter', 'max_diameter', 'type_thread_bottom', 'type_thread_top', 'weight', 'version', 'length_accumulated', 'weight_nominal', 'weight_accumulated']"
75,"Таблица knbk_plan_groups содержит информацию о группах планов бурения. Таблица имеет поля:  id - номер по порядку,  well_id - идентификатор скважины,  number - номер группы,  run - номер запуска,  casing_column - диаметр колонны,  open_hole_diameter - диаметр скважины без защитной трубы,  purpose - назначение группы,  version - версия группы,  knbk_project_group_id - идентификатор группы проекта,  nepromer_inclinometer - информация о наклонном приборе защиты.","knbk_plan_groups: ['id', 'well_id', 'number', 'run', 'casing_column', 'open_hole_diameter', 'purpose', 'version', 'knbk_project_group_id', 'nepromer_inclinometer']"
76,"Таблица kpo_stowage_registers содержит информацию о регистрах хранения. Таблица имеет поля: поле id - идентификатор записи, version - версия регистра, group_id - идентификатор группы, order_number - номер заказа, outer_diameter - внешний диаметр, pipe_length_with_thread - длина трубопровода с резьбой, pipe_length_without_thread - длина трубопровода без резьбы, length_accumulated - собранная длина, weight - вес, weight_accumulated - собранный вес, rack_number - номер хранения, certificate_number - номер сертификата, batch_number - номер партии, melting_number - номер плавки, factory_number - номер завода, location - местоположение, comment - комментарий.","kpo_stowage_registers: ['id', 'version', 'group_id', 'order_number', 'outer_diameter', 'pipe_length_with_thread', 'pipe_length_without_thread', 'length_accumulated', 'weight', 'weight_accumulated', 'rack_number', 'certificate_number', 'batch_number', 'melting_number', 'factory_number', 'location', 'comment']"
77,"Таблица liquors_actual содержит информацию о фактических свойствах растворов для бурения. Таблица имеет поля: id, well_id – идентификатор скважины, caco3, conditional_viscosity, date - дата обмериваний, density, depth_wellbore – глубина бурильной трубы, dns, filter_crust, general_hardness, lsrv, lubricant, pv, r6, sand, sns, solid_phase, version, water_yield – количественный расход раствора, water_yieldnrnt – относительный расход раствора, casing_column, electrical_stability, run, sns10c, sns10m, liquor_type, r3, ph, mud_sample_type, comment.","liquors_actual: ['id', 'well_id', 'caco3', 'conditional_viscosity', 'date', 'density', 'depth_wellbore', 'dns', 'filter_crust', 'general_hardness', 'lsrv', 'lubricant', 'pv', 'r6', 'sand', 'sns', 'solid_phase', 'version', 'water_yield', 'water_yieldnrnt', 'casing_column', 'electrical_stability', 'run', 'sns10c', 'sns10m', 'liquor_type', 'r3', 'ph', 'mud_sample_type', 'comment']"
78,"Таблица layer содержит информацию о слоях бурения. Таблица имеет поля: id - идентификатор слоя, well_id - связь со шляхой бурения, plan_layer - этап планошения, plan_pressure - рабочее давление планов, version - версия уровня, vertical_layer_height - высота горизонтального слоя.","layer: ['id', 'well_id', 'plan_layer', 'plan_pressure', 'version', 'vertical_layer_height']"
79,"Таблица liquors_plan содержит информацию о планах использования жидкостей при бурении скважин. Таблица имеет поля: id, well_id - идентификатор скважины, caco3, conditional_viscosity, conditional_viscosity_max, conditional_viscosity_min - условная вязкость, date - дата, density, density_max, density_min - плотность, dns, dns_max, dns_min - показатель диссоциации натрия, depth_wellbore - глубина скважины, electrical_stability - электрическая стабильность, filter_crust - фильтр каменц, general_hardness - общая твердость, lsvr, liquor_type - тип жидкости, lsrv, lubricant - смазка, moved_from_previous_interval - перемещение от предыдущего интервала, ph, probable_liquor_losses - вероятные потери жидкости, r3, r6, recommended_liquor_amount_in_containers - назначенная колич. жидкости в контейнерах, sand - песок, sns, sns10c_max, sns10c_min, sns10m_max, sns10m_min, solid_phase - твердая фаза, total_cooked - общая обработка, total_well_volume_at_interval_end - общий объем скважины на конце интервала, version - версия, water_yield и water_yieldnrnt - запас воды, casing_column - колонна линьки, electrical_stability - электрическая стабильность.","liquors_plan: ['id', 'well_id', 'caco3', 'conditional_viscosity', 'date', 'density', 'depth_wellbore', 'dns', 'filter_crust', 'general_hardness', 'lsrv', 'lubricant', 'pv', 'r6', 'sand', 'sns', 'solid_phase', 'version', 'water_yield', 'water_yieldnrnt', 'casing_column', 'electrical_stability', 'liquor_type', 'moved_from_previous_interval', 'probable_liquor_losses', 'recommended_liquor_amount_in_containers', 'total_cooked', 'total_well_volume_at_interval_end', 'conditional_viscosity_max', 'conditional_viscosity_min', 'density_max', 'density_min', 'dns_max', 'dns_min', 'sns10c_max', 'sns10c_min', 'sns10m_max', 'sns10m_min', 'r3', 'ph']"
80,"Таблица mastering_elevator_column содержит сведения о колонне подъёмника. Таблица имеет поля: id, версия записи; project_id — идентификатор проекта, с которым связана эта запись; nkt_installation_interval_from — начальный интервал установки колонны; nkt_installation_interval_to — окончательный интервал установки колонны; tubing_type — тип труб; outer_diameter — внешний диаметр колонны; inner_diameter — внутренний диаметр колонны; group_strength — прочность группы; type_thread - тип шестигранного стержня; weight_per_linear_meter — вес колонны на один линейный метр.","mastering_elevator_column: ['id', 'version', 'project_id', 'nkt_installation_interval_from', 'nkt_installation_interval_to', 'tubing_type', 'outer_diameter', 'inner_diameter', 'group_strength', 'type_thread', 'weight_per_linear_meter']"
81,"Таблица mapping_ggd_work_type_to_operation_type содержит информацию об картографировании типов работ ГГД по типам операций. Таблица имеет поля: id, work_type - тип работ ГГД, operation_type - тип операции.","mapping_ggd_work_type_to_operation_type: ['id', 'work_type', 'operation_type']"
